loan_id,customer_id,name,loan_amount,emi_amount,emi_paid,total_emis,due_amount,last_payment_date,repayment_status,recovery_action,payment_method
975557,88526,Brad Herrera,185970.37,3646.48,41,51,36464.8,23-05-2024,Defaulted,Reminder Sent,Bank Transfer
207826,99843,Michael Jones,708312.57,37279.61,8,19,410075.71,16-04-2025,Defaulted,None,Cash
758699,94291,Heather Hurst,549702.6,28931.72,13,19,173590.32,24-09-2023,Late,,UPI
513600,35887,Tammy Watts,247619.09,4126.98,45,60,61904.7,02-03-2024,On Time,Legal Notice,Credit Card
780857,39548,Michael Johnson,222952.14,5308.38,2,42,212335.2,09-06-2024,Late,Legal Notice,Cash
980816,46607,Luke Williams,193169.38,3388.94,34,57,77945.62,19-11-2024,Defaulted,None,UPI
986582,36293,Jason Cox,641516.26,11455.65,43,56,148923.45,11-08-2023,Late,Legal Notice,Cash
234608,68564,Jean Bishop,295109.96,5088.1,41,58,86497.7,26-03-2024,Defaulted,Legal Notice,Bank Transfer
713514,86745,Timothy Gilbert,936775.81,55104.46,12,17,275522.3,17-01-2025,Defaulted,Legal Notice,Bank Transfer
710799,98927,Christopher Roberts,954582.84,19887.14,44,48,79548.56,06-07-2024,Late,Reminder Sent,UPI
248085,64988,Rickey Casey,106772.22,3559.07,3,30,96094.89,04-06-2025,Defaulted,Collection Agency,Bank Transfer
695228,70205,Rhonda Lambert,601789.58,16264.58,32,37,81322.9,27-09-2024,,Collection Agency,UPI
197852,20064,Heather Williams,67598.97,1207.12,21,56,42249.2,09-04-2025,Defaulted,Legal Notice,Credit Card
153620,53839,Jessica Turner,276277.97,11511.58,22,24,23023.16,30-05-2024,Defaulted,,Credit Card
454593,16885,Adam Smith,505090.61,28060.59,1,18,477030.03,18-04-2025,On Time,Reminder Sent,Cash
475520,49311,Jack Rogers,543623.53,31977.85,3,17,447689.9,21-04-2024,On Time,Reminder Sent,Credit Card
377547,38392,Jasmin Myers,660313.6,14673.64,41,45,58694.56,22-07-2023,On Time,Legal Notice,Credit Card
865941,31309,Kyle Pennington,15626.24,578.75,19,27,4630,23-01-2025,Defaulted,None,Bank Transfer
486653,63733,Rebecca Warren,124429.8,3110.74,32,40,24885.92,14-08-2024,Defaulted,Collection Agency,Bank Transfer
274639,34967,Kristen Castro,892401.64,15386.24,39,58,292338.56,05-06-2024,On Time,,Cash
717868,66186,Ronald Morgan,477541.32,36733.95,9,13,146935.8,19-05-2025,On Time,Legal Notice,Bank Transfer
144970,26658,Stephen Jenkins,798747.98,17364.09,21,46,434102.25,04-06-2024,Late,Reminder Sent,
783322,37809,Mr. Kenneth Thomas,414343.42,9007.47,24,46,198164.34,17-11-2024,Defaulted,Legal Notice,Cash
776441,39246,Tiffany Mora,980754.1,44579.73,22,22,0,08-07-2024,Late,Reminder Sent,Bank Transfer
582428,38825,Teresa Smith,352266.74,18540.35,4,19,278105.25,16-06-2025,Defaulted,None,Credit Card
562031,10673,Amanda Edwards,122743.34,3506.95,21,35,49097.3,29-09-2023,Defaulted,Reminder Sent,UPI
223371,22677,Amanda Ward,804768.5,20119.21,2,40,764529.98,02-09-2023,Defaulted,None,Credit Card
878634,17439,Jordan Lopez,706324.32,22784.66,22,31,205061.94,18-12-2024,,Collection Agency,UPI
957966,59841,Mary Patton,76360.65,1696.9,19,45,44119.4,26-12-2024,Defaulted,Collection Agency,Credit Card
819195,75842,Brandi Rich,293836.45,5155.03,9,57,247441.44,06-12-2023,Late,Legal Notice,
141080,46867,Amanda Bennett,247995.65,11272.53,6,22,180360.48,24-09-2023,Defaulted,Legal Notice,Credit Card
220890,27246,Laura Nelson,920270.18,36810.81,8,25,625783.77,07-10-2024,On Time,Legal Notice,Credit Card
448425,74828,Chase Mcdaniel,668242.65,13921.72,26,48,306277.84,02-09-2023,Late,Collection Agency,UPI
633914,55639,Jennifer Vaughan,669969.91,16340.73,1,41,653629.2,10-08-2024,Defaulted,Legal Notice,UPI
388321,41958,Matthew Carey,532904.84,10248.17,39,52,133226.21,01-06-2025,Defaulted,Reminder Sent,Cash
508993,11834,Brandon Sparks,889725.43,46827.65,9,19,468276.5,02-08-2023,On Time,Collection Agency,Bank Transfer
257694,69300,Jermaine Diaz,287092.86,11483.71,15,25,114837.1,01-04-2025,Late,None,Cash
171095,35292,Scott Stone,342355.09,13694.2,16,25,123247.8,23-06-2024,Defaulted,Legal Notice,Credit Card
327854,12340,Nicholas Gregory,986268.41,31815.11,16,31,477226.65,05-08-2023,On Time,Collection Agency,Credit Card
953209,10444,Amy Logan,868885.88,17377.72,1,50,851508.28,10-07-2024,Late,Reminder Sent,Bank Transfer
337508,51360,Kristen Rhodes,508428.78,12400.7,38,41,37202.1,19-05-2025,Late,Legal Notice,Bank Transfer
174950,27779,Walter Lane,75239.17,1393.32,32,54,30653.04,17-02-2024,Late,Legal Notice,Credit Card
195664,18886,Whitney Ortega,803924.98,38282.14,12,21,344539.26,06-01-2024,Defaulted,Reminder Sent,UPI
651092,55109,Erik Evans,296075.06,7791.45,12,38,202577.7,22-02-2024,Defaulted,Collection Agency,UPI
600792,45577,Todd Carter,233042.56,5548.63,26,42,88778.08,13-06-2025,,Reminder Sent,Bank Transfer
824457,96931,Bradley Jackson II,199693.6,9984.68,20,20,0,04-05-2025,On Time,None,
961611,91973,Amy Clark,460113.41,20004.93,0,23,460113.39,16-04-2025,Defaulted,Legal Notice,Credit Card
765574,20102,Jillian Bailey,813055.22,47826.78,9,17,382614.24,11-04-2025,Late,,Bank Transfer
581283,51888,Felicia Marquez,297938.89,17525.82,4,17,227835.66,13-08-2023,Defaulted,None,Cash
550774,49962,Samuel Wright,792663.92,60974.15,8,13,304870.75,08-06-2024,Late,Collection Agency,
415911,38877,Elizabeth Brown,687753.78,15994.27,11,43,511816.64,27-01-2024,Late,Reminder Sent,Credit Card
389532,46252,Sean Clark,437911.23,16842.74,0,26,437911.24,16-01-2025,On Time,Reminder Sent,Bank Transfer
686785,65397,Sylvia Kelly,98975.01,1649.58,19,60,67632.78,03-12-2023,Late,Collection Agency,UPI
429113,11497,Jenny Chavez,740029.26,25518.25,4,29,637956.25,29-12-2023,Late,Collection Agency,Cash
480981,31646,Larry Wallace,368839.3,13660.71,13,27,191249.94,03-03-2024,Late,None,UPI
632714,43316,Gina Patterson,370680.17,6503.16,50,57,45522.12,23-02-2024,On Time,Legal Notice,UPI
460002,52537,Evan Adkins,393363.55,11238.96,32,35,33716.88,19-11-2023,Late,Collection Agency,Cash
870393,99631,Kristin Bryan,118207.03,2003.51,51,59,16028.08,30-05-2024,Defaulted,Reminder Sent,
455520,28614,Kevin Shepard,913119.18,28534.97,28,32,114139.88,16-09-2024,Late,,Bank Transfer
864575,61806,Anne Little,265408.88,4914.98,11,54,211344.14,07-12-2023,On Time,Reminder Sent,
272158,96564,Raymond Lewis,711152.93,19220.35,18,37,365186.65,21-06-2024,On Time,None,Bank Transfer
159413,32943,Kenneth Savage,841836.95,16506.61,1,51,825330.5,10-09-2023,,Reminder Sent,UPI
956116,58640,Robert Wright,226840.52,5671.01,20,40,113420.2,10-05-2025,On Time,Reminder Sent,UPI
934675,81020,Jose Bowen,635613.7,15890.34,9,40,492600.54,28-05-2024,On Time,Legal Notice,Cash
786146,68333,Roberto Welch,793331.17,24040.34,18,33,360605.1,10-10-2023,On Time,Legal Notice,Credit Card
824487,17676,Gregory Hardin,95746.3,5319.24,5,18,69150.12,26-04-2024,Late,Reminder Sent,Bank Transfer
738942,84812,Kevin Harris,708711.97,16107.09,20,44,386570.16,09-01-2024,On Time,Collection Agency,UPI
862473,91572,Tina Mitchell,831238.64,69269.89,10,12,138539.78,23-02-2025,Late,Legal Notice,
777916,64170,Louis Lawrence,897130.15,15467.76,28,58,464032.8,05-05-2025,Defaulted,Collection Agency,Bank Transfer
278859,19862,Renee Moore,473837.57,29614.85,14,16,59229.7,07-12-2024,On Time,Reminder Sent,Credit Card
269783,93589,Sharon Spencer,983774.5,17567.4,45,56,193241.4,23-12-2024,Late,Collection Agency,Cash
978406,31544,Haley Sullivan,593919.64,12120.81,28,49,254537.01,03-02-2025,Defaulted,Reminder Sent,UPI
411372,84343,Mary Mathis,623127.72,17309.1,9,36,467345.7,20-12-2024,Late,Collection Agency,
324962,79049,Tyler Lambert,914271.92,17582.15,52,52,0,24-06-2023,Late,Reminder Sent,UPI
845103,33690,Anthony Barker,727183.75,13221.52,54,55,13221.52,19-07-2023,On Time,Collection Agency,Credit Card
211247,66593,Paul Roberts,656159.24,19883.61,31,33,39767.22,26-03-2025,Defaulted,Collection Agency,Bank Transfer
918869,19228,Jeffrey Johnson,924077.98,33002.78,18,28,330027.8,16-05-2024,On Time,Collection Agency,Bank Transfer
215987,92542,James Vaughan,955913.38,18382.95,22,52,551488.5,26-09-2023,On Time,Collection Agency,Cash
856777,53471,Hannah Warren,538690.99,9130.36,19,59,365214.4,10-12-2024,Late,None,Bank Transfer
656915,47688,William Johnson,987244.45,42923.67,16,23,300465.69,18-05-2024,Defaulted,None,Bank Transfer
469631,84924,Amy Douglas,904952.04,19254.3,0,47,904952.1,02-09-2023,Defaulted,,Bank Transfer
434877,25486,David Wagner,961741.15,60108.82,0,16,961741.12,27-02-2024,Late,Reminder Sent,UPI
903989,74429,Annette Berry,476987.65,15899.59,15,30,238493.85,18-12-2024,Defaulted,Collection Agency,Credit Card
424474,50150,Suzanne Taylor,519991.87,37142.28,0,14,519991.92,18-01-2024,On Time,Collection Agency,UPI
504441,71149,David Woods,297165.47,5943.31,27,50,136696.13,26-08-2023,,Reminder Sent,UPI
817930,12723,Bryan Russo,313319.13,6811.29,36,46,68112.9,23-11-2024,On Time,None,Bank Transfer
201017,86250,Steven Wong,132069.98,3144.52,1,42,128925.32,16-06-2024,Late,Collection Agency,Credit Card
818677,65860,Donna Rhodes,194624.99,4423.3,29,44,66349.5,22-01-2025,Defaulted,None,UPI
101927,56585,Colleen Cooper,798416.2,20472.21,31,39,163777.68,17-07-2023,Late,Reminder Sent,Cash
784034,72341,Sarah Benson,331363.12,7706.12,6,43,285126.44,20-09-2023,On Time,None,Cash
754082,14561,Zachary Johnson,133741.58,3429.27,17,39,75443.94,23-02-2025,Late,Legal Notice,Cash
998463,20041,James Olson,931170.08,16628.04,49,56,116396.28,15-08-2024,Defaulted,Legal Notice,Credit Card
139459,45599,Daniel Garza,119842.62,2178.96,35,55,43579.2,20-01-2025,Defaulted,Legal Notice,Bank Transfer
972582,28436,Melissa Wright,894717.26,49706.51,18,18,0,05-10-2024,Late,None,Credit Card
866736,75261,Jeffrey Jones,891643.97,37151.83,5,24,705884.77,08-07-2024,Late,Reminder Sent,UPI
994460,84242,Michele Richards,320674.64,6050.46,35,53,108908.28,06-02-2024,On Time,None,Bank Transfer
529661,94532,Benjamin Green,110328.52,4243.4,11,26,63651,04-08-2024,Defaulted,Reminder Sent,Credit Card
507238,21162,Joseph Peters,20642.74,1474.48,4,14,14744.8,12-09-2024,Late,Legal Notice,Bank Transfer
944338,62987,Logan Jones,414230.76,10355.77,35,40,51778.85,24-01-2025,Late,Legal Notice,Bank Transfer
450664,46948,Dr. Patricia Richardson PhD,460999.77,8087.72,36,57,169842.12,27-12-2023,Late,Collection Agency,Credit Card
495621,30098,Jennifer Lewis,554743.99,29197.05,4,19,437955.75,25-09-2024,On Time,Reminder Sent,UPI
381327,82700,James Brown,109084.66,5194.51,1,21,103890.2,31-12-2023,Late,Collection Agency,Credit Card
332609,38332,Donna Brown,458634.33,11186.2,39,41,22372.4,11-09-2023,On Time,Reminder Sent,UPI
286899,36413,Brandon Rodriguez,242284.2,6057.11,16,40,145370.64,10-05-2025,Defaulted,Reminder Sent,UPI
308581,95702,Debbie Rodriguez,279355.11,6496.63,14,43,188402.27,03-01-2024,On Time,Legal Notice,
249496,36049,Chad Jones DVM,125822.05,7401.3,12,17,37006.5,28-08-2023,On Time,Legal Notice,
799304,13453,Shannon Weaver,672970.48,24924.83,10,27,423722.11,06-09-2024,Defaulted,None,UPI
760279,12424,Debbie Garza,858052.19,17161.04,5,50,772246.8,24-04-2024,Defaulted,None,UPI
688289,61737,Heather Wilcox,381090.22,13610.36,22,28,81662.16,27-09-2023,,Legal Notice,Cash
283060,57720,Brian Smith,396639.91,6722.71,45,59,94117.94,28-12-2023,On Time,None,Credit Card
622232,89938,Chase Fuller,918961.55,15844.16,7,58,808052.16,07-02-2024,,None,Cash
403037,43788,Kelly Fernandez,545742.95,25987.76,17,21,103951.04,06-02-2024,Late,None,UPI
822511,71004,Ricardo Miller,888954.4,19325.1,27,46,367176.9,20-07-2023,Late,Collection Agency,Cash
255784,99752,Kimberly Brown,389698.27,21649.9,6,18,259798.8,08-01-2025,Defaulted,Legal Notice,Credit Card
821417,69865,Carol Bond,176353.32,8817.67,10,20,88176.7,02-04-2025,On Time,Reminder Sent,Cash
104030,86970,Elizabeth Smith,111621.91,2188.66,7,51,96301.04,11-09-2023,Late,Collection Agency,UPI
502224,54656,Robin White,987448.52,21943.3,28,45,373036.1,21-08-2024,Defaulted,Legal Notice,Bank Transfer
961961,81582,Debra Shields,937017.13,26771.92,27,35,214175.36,01-02-2024,Late,,UPI
335491,79962,Wyatt Reyes,120132.57,2355.54,44,51,16488.78,20-01-2025,On Time,None,
944855,53615,John Smith,283464.64,14173.23,10,20,141732.3,05-10-2024,Defaulted,Legal Notice,UPI
253830,26167,Randall Stewart,764946.63,42497.04,9,18,382473.36,30-07-2023,On Time,Reminder Sent,Bank Transfer
711642,13487,Joseph Ponce,857557.95,32983,2,26,791592,04-08-2023,Late,,
845040,91533,Steven Mcmahon,441012.42,31500.89,6,14,252007.12,13-10-2023,On Time,Collection Agency,Credit Card
872826,44851,Savannah Hernandez,433725.58,11413.83,15,38,262518.09,03-06-2024,On Time,Legal Notice,Credit Card
498664,17935,Willie Mclaughlin,273004.02,8272.85,10,33,190275.55,12-07-2023,Defaulted,Collection Agency,Bank Transfer
754754,99322,Donald Woods,399641.12,16651.71,15,24,149865.39,08-02-2025,Late,Legal Notice,Bank Transfer
252571,69018,James Wong,560120.49,40008.61,13,14,40008.61,13-02-2024,Late,Legal Notice,UPI
495073,17280,Gina Carey,16314.6,354.67,42,46,1418.68,01-01-2024,Defaulted,,UPI
531525,62260,Stacy Hernandez,813734.33,30138.31,1,27,783596.06,25-11-2024,Defaulted,Reminder Sent,Credit Card
427045,79950,Richard Martinez,747735.1,39354.48,6,19,511608.24,05-08-2024,Late,,Cash
100707,81809,Melissa Randolph,325734.64,11232.23,15,29,157251.22,27-06-2023,Late,None,Cash
460834,46449,Robert Hughes,670615.46,47901.1,5,14,431109.9,04-07-2023,Defaulted,Reminder Sent,Cash
937696,93881,Timothy Pierce,660899.41,55074.95,0,12,660899.4,31-05-2025,Late,Legal Notice,Cash
964823,85318,Kevin Woods,49062.44,925.71,50,53,2777.13,17-09-2024,Late,Reminder Sent,Cash
397292,38972,Stephen Cardenas,957711.22,21282.47,11,45,723603.98,23-08-2024,Late,Collection Agency,Cash
130489,51312,Carrie Taylor,850843.83,17364.16,44,49,86820.8,11-04-2024,On Time,Reminder Sent,Credit Card
752114,69748,Thomas Pearson,383351.33,25556.76,10,15,127783.8,21-08-2023,On Time,Reminder Sent,Credit Card
733317,14081,Christopher Walters,715371.38,14026.89,5,51,645236.94,29-10-2024,On Time,None,Bank Transfer
845076,78020,Walter Hamilton,676360.26,15729.31,37,43,94375.86,05-08-2023,Late,Reminder Sent,UPI
732432,43478,Maria White,858711.25,37335.27,9,23,522693.78,26-08-2023,Late,Reminder Sent,UPI
228250,25423,Carla Fernandez,739955.94,17618,18,42,422832,25-03-2024,On Time,Reminder Sent,Credit Card
722278,31031,Douglas Kelly,164289.11,4107.23,36,40,16428.92,13-07-2023,On Time,Collection Agency,Cash
919145,11224,Tyrone Arias,252594.49,4510.62,18,56,171403.56,14-10-2023,,None,Bank Transfer
309468,69620,Ryan Yu,545061.24,22710.88,1,24,522350.24,14-10-2024,Late,Collection Agency,UPI
851970,77080,Shirley Fox,23684.11,430.62,27,55,12057.36,28-07-2023,Late,None,Cash
160687,42909,Mackenzie Holt,575705.83,11993.87,6,48,503742.54,11-02-2024,On Time,Reminder Sent,Cash
996339,76620,Beverly Green,403144.36,7329.9,14,55,300525.9,27-12-2023,Defaulted,Legal Notice,UPI
106903,85896,Jeffrey Bradley,267580.23,8631.62,13,31,155369.16,07-01-2024,Late,None,UPI
104828,59095,Michael Faulkner,724173.21,14483.46,11,50,564854.94,01-02-2024,Late,Legal Notice,Credit Card
478363,51706,Ashley Wagner PhD,517947.79,8930.13,9,58,437576.37,25-04-2024,Late,Collection Agency,Credit Card
175491,68489,William Spears,824242.24,16821.27,31,49,302782.86,12-12-2024,On Time,Reminder Sent,Cash
698529,14257,Debbie Mcdowell,70140.44,2922.52,24,24,0,12-03-2025,Defaulted,None,
883785,35773,Anthony Bowen,147197.69,8177.65,2,18,130842.4,23-11-2024,Defaulted,Reminder Sent,
845417,79404,Angela Baker,127885.56,4736.5,8,27,89993.5,26-07-2023,Defaulted,Legal Notice,Cash
569663,76805,Bryan Ball,949186.65,16652.4,18,57,649443.6,10-08-2023,On Time,None,Bank Transfer
416900,36865,Adam Smith,303406.1,11669.47,11,26,175042.05,17-07-2024,On Time,Reminder Sent,Bank Transfer
559162,15828,Pamela Woodard,573377.35,35836.08,1,16,537541.2,21-12-2023,Late,Collection Agency,Cash
492289,12504,Christian Strong,334955.46,16747.77,13,20,117234.39,06-03-2024,On Time,None,Bank Transfer
163689,92822,William Sanford,271623.63,5658.83,43,48,28294.15,01-06-2024,On Time,None,UPI
698880,85988,Michael Miller,656917.57,19321.1,26,34,154568.8,04-06-2024,Defaulted,Legal Notice,Bank Transfer
578705,28339,Brenda Daniels,89105.37,6854.26,12,13,6854.26,10-11-2024,On Time,Reminder Sent,UPI
196599,88720,Miguel Hensley,680336.87,11729.95,37,58,246328.95,18-03-2024,Late,,Cash
902711,16570,Steven Buck,446472.51,15945.45,10,28,287018.1,02-04-2025,Defaulted,Legal Notice,UPI
994333,76085,Jonathan Johns,152712.41,3636.01,8,42,123624.34,18-09-2023,Late,Legal Notice,UPI
290460,67478,Mark Jones,244267.14,4441.22,8,55,208737.34,29-09-2023,On Time,None,Bank Transfer
342254,37880,Kimberly Haynes,242168,4748.39,1,51,237419.5,11-02-2024,Late,None,UPI
245958,20766,Linda Mcfarland,533097.58,9519.6,53,56,28558.8,19-02-2024,On Time,None,Bank Transfer
817369,78182,Gregory Robbins,932578.13,44408.48,5,21,710535.68,12-04-2025,Late,None,Cash
691206,83497,Elizabeth Glover,410687.51,29334.82,2,14,352017.84,12-09-2023,Late,Collection Agency,Cash
603522,51729,Barbara Wyatt,288170.72,8732.45,4,33,253241.05,19-06-2025,Late,Legal Notice,Credit Card
386843,34602,Judith Sanchez,283629.27,6596.03,3,43,263841.2,27-01-2025,Late,Legal Notice,UPI
863156,86896,Sandra Olsen,239199.62,9966.65,1,24,229232.95,16-02-2024,On Time,Collection Agency,Bank Transfer
599498,65575,Jessica Mendoza,733384.63,45836.54,14,16,91673.08,13-01-2025,On Time,Collection Agency,Credit Card
456939,74312,Matthew Howell,211196.44,4223.93,25,50,105598.25,07-01-2024,Defaulted,None,Cash
941844,84682,Dawn Thompson,832827.14,14611,31,57,379886,28-01-2025,Defaulted,Collection Agency,Credit Card
613023,20664,Matthew Johnson,696654.32,14217.44,5,49,625567.36,24-03-2024,Late,None,Credit Card
637960,56425,Lee Jones,778457.9,18534.71,42,42,0,09-04-2025,On Time,Collection Agency,Cash
807470,79649,Erica Garrett,866943.61,15209.54,56,57,15209.54,16-08-2024,Defaulted,None,UPI
491381,66234,Charles Pruitt,319424.96,6263.23,45,51,37579.38,23-02-2024,On Time,None,Credit Card
101353,48877,Travis Fletcher,159534.59,2750.6,23,58,96271,12-03-2024,On Time,,Bank Transfer
462776,38330,Kimberly Huang,37955.32,759.11,50,50,0,05-06-2025,Defaulted,Legal Notice,Credit Card
774798,77404,Joy Hall,991541.74,31985.22,2,31,927571.38,08-01-2024,On Time,Collection Agency,Bank Transfer
398743,92479,Rebekah Ford,880086.64,44004.33,0,20,880086.6,27-05-2025,Defaulted,None,Bank Transfer
901996,46966,Michelle Mclaughlin,709122,16491.21,24,43,313332.99,30-12-2023,On Time,None,Bank Transfer
252994,25121,Sheila Bailey,588637.09,12263.27,14,48,416951.18,30-10-2023,Late,None,Bank Transfer
705876,13863,Elizabeth Washington,361394.42,6023.24,7,60,319231.72,01-06-2025,Late,Reminder Sent,Credit Card
549012,21682,Brent Cobb,813517.4,18489.03,7,44,684094.11,10-06-2025,On Time,Legal Notice,Credit Card
689361,50365,Brian Wells,628518.15,52376.51,9,12,157129.53,24-10-2023,Defaulted,Reminder Sent,Cash
171297,95383,Patty Pratt,855025.35,19432.39,0,44,855025.16,04-12-2023,Defaulted,Collection Agency,
226162,17723,Ariel Jackson,691254.41,15710.33,24,44,314206.6,04-10-2024,On Time,Legal Notice,Bank Transfer
444981,48960,Eric Mcbride,603115.95,10051.93,16,60,442284.92,26-02-2025,Defaulted,Legal Notice,UPI
799244,37009,Maria Garrett,614664.97,47281.92,7,13,283691.52,04-06-2025,Defaulted,Legal Notice,Cash
296586,75151,Stephanie Woodard,723745.47,51696.1,9,14,258480.5,18-03-2024,Late,Reminder Sent,Credit Card
154266,86979,Samantha Lopez,626223.2,13323.9,47,47,0,25-12-2023,Defaulted,None,Credit Card
152267,30383,Kimberly Matthews,468929.87,11723.25,13,40,316527.75,21-04-2025,Late,Reminder Sent,UPI
708579,25921,Katie Garcia,708875.74,29536.49,1,24,679339.27,29-12-2024,Late,None,Bank Transfer
441764,89956,Jessica Hansen,338061.42,12520.79,24,27,37562.37,27-09-2023,Late,Collection Agency,UPI
689836,35102,John Ayala,999154.04,19591.26,33,51,352642.68,01-09-2024,Defaulted,Legal Notice,Credit Card
896898,90279,Jennifer Hall,817554.28,29198.37,6,28,642364.14,24-09-2024,Late,None,UPI
573251,98496,Hector Pratt,868519.8,29948.96,17,29,359387.52,27-12-2023,Defaulted,,Credit Card
836199,13016,Kiara Lane,928540.7,17519.64,11,53,735824.88,07-05-2025,Defaulted,Reminder Sent,Cash
893211,26387,Mark Watson,708790.64,41693.57,9,17,333548.56,11-09-2024,On Time,Reminder Sent,UPI
769979,36294,Jeffrey Mcgee,168013.96,5793.58,26,29,17380.74,22-06-2024,Defaulted,None,Cash
211172,49906,Anthony Flores,457228.62,9728.27,14,47,321032.91,02-06-2024,Defaulted,Reminder Sent,UPI
223246,28442,Melissa Johnson,11883.25,304.7,25,39,4265.8,17-08-2024,Late,None,Bank Transfer
681406,82103,Wanda Lopez,47102.57,942.05,46,50,3768.2,10-02-2025,Late,None,Bank Transfer
785525,94703,Devin Gould,220112.7,6670.08,24,33,60030.72,26-05-2024,Late,None,Cash
847349,40130,Steven Carey,261578.09,11372.96,15,23,90983.68,12-06-2025,On Time,Reminder Sent,Cash
400159,88646,Jeffrey Adams,229928,4790.17,34,48,67062.38,04-04-2024,Defaulted,Legal Notice,Cash
124014,29523,Shawna Joseph,744222.89,17719.59,19,42,407550.57,02-08-2024,On Time,Legal Notice,Bank Transfer
400801,44845,Lisa Williams,217055.86,8039.11,13,27,112547.54,18-10-2023,Late,None,Cash
833710,84174,Charles Bean,994550.5,27626.4,12,36,663033.6,02-03-2024,Defaulted,Collection Agency,UPI
890690,77313,Mr. Bryan Sanchez,888700.94,26138.26,24,34,261382.6,10-09-2024,Defaulted,None,Credit Card
231305,15259,Bobby Hamilton,25718.93,467.62,8,55,21978.14,11-08-2024,On Time,Collection Agency,UPI
713053,99468,Jason Smith,451000.69,18791.7,7,24,319458.9,06-05-2025,On Time,Reminder Sent,Cash
169928,43111,Lori Wagner,351497.11,14645.71,22,24,29291.42,12-09-2024,On Time,None,Credit Card
113729,56189,Courtney Lewis,368409.99,8372.95,5,44,326545.05,21-01-2025,Late,None,Bank Transfer
838274,60353,Aaron Watkins,901738.01,15028.97,54,60,90173.82,16-11-2024,Late,Reminder Sent,UPI
511156,12547,Christian Hughes,744191.78,18604.79,20,40,372095.8,27-07-2024,Late,Legal Notice,UPI
417305,30365,Terry Carter,983838.45,42775.58,23,23,0,01-03-2025,On Time,Legal Notice,
778396,36148,Roy Li,948731.69,30604.25,27,31,122417,21-01-2025,Late,Collection Agency,Bank Transfer
416790,87429,Lisa Mcdonald,417822.15,13056.94,12,32,261138.8,20-10-2024,Late,Legal Notice,Bank Transfer
756935,46755,Peggy Dean,676949.08,17814.45,33,38,89072.25,19-02-2025,,None,Credit Card
381471,54953,Stephanie Ortiz,804267.77,40213.39,9,20,442347.29,18-11-2024,Defaulted,Reminder Sent,Cash
918777,94358,Richard Dalton,781133.83,48820.86,10,16,292925.16,04-08-2024,On Time,Collection Agency,Cash
192534,92491,Cassandra Dixon,783990.14,15999.8,28,49,335995.8,28-05-2024,,Legal Notice,Bank Transfer
950285,25266,Jeremy Baker III,273194.54,4792.89,57,57,0,09-06-2025,On Time,Collection Agency,UPI
999872,37600,Cathy Allen,23029.42,500.64,36,46,5006.4,27-06-2024,,Legal Notice,
992865,43916,Michelle Wolf,565314.08,12027.96,7,47,481118.4,23-12-2023,Late,Legal Notice,UPI
382195,65637,William Miller,175269.38,6259.62,10,28,112673.16,24-01-2025,Defaulted,Reminder Sent,Bank Transfer
667846,24305,Lisa Murray,260697.21,18621.23,3,14,204833.53,27-01-2025,Late,Reminder Sent,Bank Transfer
419759,50061,Andrew Anderson,705629.5,15339.77,3,46,659610.11,09-09-2024,Late,Reminder Sent,Cash
241583,93590,Virginia Rogers,203831.76,3706.03,25,55,111180.9,01-08-2023,Late,Reminder Sent,Credit Card
271381,95138,Stacey Perkins,385776.55,7014.12,44,55,77155.32,06-03-2024,Defaulted,Collection Agency,Credit Card
842137,64046,Laura Powell,782033.12,14218.78,30,55,355469.5,27-09-2023,On Time,Legal Notice,Bank Transfer
856002,21112,Darlene Watson,70119.93,3895.55,15,18,11686.65,19-10-2024,Late,None,Credit Card
334813,20634,Lisa Davis,411240.54,25702.53,0,16,411240.48,23-03-2024,On Time,Collection Agency,
446619,70731,Rebecca Davis,815306.33,21455.43,36,38,42910.86,19-12-2023,Late,Reminder Sent,Bank Transfer
435606,13314,Catherine Harris,402778.42,20138.92,4,20,322222.72,19-07-2023,Late,Legal Notice,Credit Card
491784,91629,Joseph Hogan,215058.95,4135.75,14,52,157158.5,06-03-2025,Late,Reminder Sent,Bank Transfer
648197,98054,Jennifer Perry,144786.15,4826.2,5,30,120655,15-04-2025,Late,None,Bank Transfer
937232,68885,Stephen Martinez,533193,17199.77,6,31,429994.25,20-03-2025,Defaulted,None,Bank Transfer
261896,38731,Natalie Smith,289926.02,4914,38,59,103194,07-04-2024,On Time,Legal Notice,Bank Transfer
173664,24924,John Landry,192481.12,10693.4,16,18,21386.8,01-12-2024,Defaulted,Legal Notice,Cash
612898,81254,Whitney Walker,718767.74,34227.04,12,21,308043.36,11-08-2024,Late,,Cash
175125,27212,Ian Torres,90117.11,2310.7,39,39,0,18-10-2023,On Time,None,Cash
330877,93774,Sonia Johnston,914581.6,16936.7,45,54,152430.3,01-08-2023,Defaulted,Collection Agency,UPI
184484,83799,Kristina Berry,69391.55,2040.93,2,34,65309.76,25-08-2023,Late,Legal Notice,Bank Transfer
701288,89300,Shawn Ho,996011.59,19529.64,47,51,78118.56,10-08-2023,Late,Collection Agency,Credit Card
263384,24358,Alexander Martinez,856610.25,21415.26,18,40,471135.72,09-10-2023,Defaulted,None,Cash
468839,76463,Gregory Gonzalez,320260.57,15250.5,9,21,183006,15-03-2024,Late,Collection Agency,Bank Transfer
111734,68929,Scott Henderson,378776.21,21043.12,13,18,105215.6,12-05-2024,On Time,Collection Agency,Bank Transfer
